,Expert,Institution
3925,Soner Cagaptay,Washington Institute for Near East Policy
3926,Virginia Tech,University of Washington
3927,Norman Arkans,University of Washington
3928,Danielle Allen,Harvard University
3929,Erica Frankenberg,Penn State University
3930,Patrick T.   ,Truckee Meadows Community College
3931,Sean Reardon,Stanford University
3932,Karen Dunn,Georgetown University
3933,Jonathan Gruber,Massachusetts Institute of Technology
3934,Harris M. Cooper,Duke University
3935,Milo Yiannopoulos,University of Michigan
3936,Richard Spencer,National Policy Institute
3937,Patrick T.   ,Truckee Meadows Community College
3938,Story Landis,National Institute of Neurological Disorders and Stroke
3939,Patrick T.   ,Truckee Meadows Community College
3940,Richard Primus,University of Michigan Law School
3941,John Kappelman,University of Texas
3942,John Kappelman,University of Texas
3943,William Kimbel,Institute of Human Origins
3944,John Kappelman,University of Texas
3945,David Green,Midwestern University
3946,Rebecca Ackermann,University of Cape Town
3947,Russ Rader,Insurance Institute for Highway Safety
3948,Attila Andics,Eötvös Loránd University
3949,Stephen Saltzburg,George Washington University
3950,DeShawn Franklin,University of Notre Dame
3951,Allen Nutman,University of Wollongong
3952,Sara Walker,Arizona State University
3953,Nicholas Quinn Rosenkranz,Georgetown University
3954,Jennifer Lawless,American University
3955,Marta Gacsi,Eotvos Lorand University
3956,John J. DeGioia,Georgetown University
3957,David J. Collins,Georgetown University
3958,Andrew Cornett,Indiana University
3959,Andrew Cornett,Indiana University
3960,Lou Bloomfield,University of Virginia
3961,Thomas E. Mann,American Enterprise Institute
3962,Michael Vitiello,University of Pacific
3963,Jill Lepore,Harvard University
3964,Johann Neem,Western Washington University
3965,Larry Sabato,University of Virginia
3966,James E. Campbell,University at Buffalo
3967,Robert Erikson,Columbia University
3968,Chris Wlezien,Columbia University
3969,Charles Tien,University of Iowa
3970,Charles Tien,Hunter College
3971,Helmut Norpoth,Stony Brook University
3972,Alan Abramowitz,Emory University
3973,Len Pietrafesa,Coastal Carolina University
3974,Lawrence Katz,Harvard University
3975,Alan Krueger,Harvard University
3976,Richard Hasen,University of California at Irvine
3977,Sacred Heart,Maryville College
3978,Sacred Heart,Maryville College
3979,N. Y. It,Hofstra University
3980,Dan Cox,Public Religion Research Institute
3981,John Cacioppo,University of Chicago
3982,Luc Goosens,University of Leuven
3983,Andrea Constand,Temple University
3984,James Harris,Trump University
3985,Stephen Duncombe,New York University
3986,Jonathan Turley,George Washington University Law School
3987,Jonathan Caulkins,Carnegie Mellon University
3988,Laurie Goodman,Urban Institute
3989,Scott King,Stanford University
3990,Michael Tesler,University of California at Irvine
3991,Robert Anderson,University of Boulder
3992,James Harris,Trump University
3993,Jenny Donovan,University of Bristol
3994,Michael McFaul,Stanford University
3995,Margaret Spellings,University of North Carolina
3996,Brandon L. Garrett,University of Virginia School of Law
3997,Rick Amasino,University of Wisconsin
3998,Diana Moss,American Antitrust Institute
3999,Marc Swogger,University of Rochester Medical Center
4000,Erika Mantz,University of New Hampshire
4001,Gregory Ward,Northwestern University
4002,N. Y.,Hofstra University
4003,Tom Toles,Penn State University
4004,Otto Warmbier,University of Virginia
4005,Richard G. Fessler,Rush University Medical Center
4006,Allan Meltzer,Carnegie Mellon University
4007,Eugene Volokh,University of Chicago
4008,Eugene Volokh,University of Chicago
4009,Raj Rajkumar,Carnegie Mellon University
4010,Kent State,Kent State University
4011,Narayana Kocherlakota,University of Rochester
4012,Joseph Gagnon,Peterson institute for International Economics
4013,Julian Reiss,Durham University
4014,Aaron Persky,Stanford University
4015,Bruce Hoffman,Georgetown University
4016,Rob DeConto,University of Massachusetts
4017,David Pollard,Penn State University
4018,Bob Woodward,Harvard University
4019,Gabriella Coleman,McGill University
4020,Doug Linder,University of Missouri
4021,Bill Clinton,Laureate University
4022,Kenneth Tyler,University of Colorado School of Medicine
4023,Jim Geach,University of Hertfordshire
4024,Desika Narayanan,Haverford College
4025,David Reich,Harvard University
4026,Joshua Akey,University of Washington
4027,Allan Lichtman,American University
4028,Brandon W. Lenoir,High Point University
4029,Robert S. Erikson,Princeton University
4030,Christopher Wlezien,Princeton University
4031,Lynn Vavreck,University of California at Los Angeles
4032,Hillary Clinton,Hofstra University
4033,N. Y.,Hofstra University
4034,N. Y.,Lighting Research Center at Rensselaer Polytechnic Institute
4035,Donald Trump,Hofstra University
4036,N. Y.,Hofstra University
4037,Hillary Clinton,Temple University
4038,Peter Navarro,University of California at Irvine
4039,Elliot Sperling,Indiana University
4040,Alfred Blumstein,Carnegie Mellon University
4041,N. Y.,Hofstra University
4042,Lester Holt,Hofstra University
4043,Lester Holt,Hofstra University
4044,Arthur Brooks,American Enterprise Institute
4045,Robert Holsworth,Virginia Commonwealth University
4046,Lester Holt,Hofstra University
4047,Benjamin Hart,University of California at
4048,Danielle Allen,Harvard University
4049,David Strauss,University of Chicago
4050,Richard Rosenfeld,University of Missouri
4051,Peter Navarro,University of California at Irvine
4052,Emily Levesque,University of Washington
4053,Terry Fry,National Cancer Institute
4054,George Mason,George Mason University
4055,George Mason,George Mason University
4056,Dominguez Hills,California State University
4057,Dominguez Hills,California State University
4058,Dominguez Hills,Montana State University
4059,George Mason,George Mason University
4060,Frank McAndrew,Knox College
4061,Tim Kaine,Longwood University
4062,Gary Hufbauer,Peterson Institute for International Economics
4063,Edward Kleinbard,University of Southern California
4064,Deborah Tannen,Georgetown University
4065,Norman Ornstein,American Enterprise Institute
4066,Geoffrey Beattie,University of Sheffield
4067,Chris Seiple,Institute for Global Engagement
4068,Jane Hall,American University
4069,Rick Luettich,University of North Carolina Institute of Marine Sciences
4070,Brendan Nyhan,Dartmouth College
4071,Jason Reifler,Dartmouth College
4072,Jarmila Pittermann,University of California
4073,Kristan Hawkins,Liberty University
4074,Douglas Muir,University of Virginia
4075,Donald Trump,Washington University
4076,John Abatzoglou,University of Idaho
4077,Jack Nasar,Ohio State University
4078,Donald Trump,Washington University
4079,Donald Trump,Washington University
4080,David Gerdes,University of Michigan
4081,Carl Tobias,University of Richmond School of Law
4082,Richard Kluger,white university
4083,Charles Kesler,Claremont Institute
4084,Febin Bellamy,Georgetown University
4085,N. Y.,Hofstra University
4086,N. Y.,Washington University
4087,Derek Black,New College
4088,William Cline,Peterson Institute for International Economics
4089,Hung Tran,Institute of International Finance
4090,Desmond Lachman,American Enterprise Institute
4091,Luke Martin,Oxford University
4092,Stephen Vladeck,University of Texas
4093,Bo Zhang,University of Florida
4094,p. m. Eastern,University of Nevada
4095,Gerard Alexander,University of Virginia
4096,Tim Kaine,Longwood University
4097,John Schiller,National Cancer Institute
4098,Katherine Jellison,Ohio University
4099,Alberto Chong,Georgia State University
4100,Adam S. Levine,Cornell University
4101,Nicole Eramo,University of Virginia
4102,John McWhorter,Columbia University
4103,Paul Piff,University of California
4104,Kathleen Vohs,University of Minnesota
4105,Keely Muscatell,University of North Carolina
4106,Jennifer Stellar,University of Toronto
4107,Jake Zartman,George Mason University
4108,Miley Cyrus,George Mason University
4109,Nicole Eramo,University of Virginia
4110,Eric Foner,Columbia University
4111,Nicole Eramo,University of Virginia
4112,N. C.,Guilford Technical Community College
4113,Christopher Marlowe,Oxford University Press
4114,Gary Taylor,Florida State University
4115,Janelle Wylie,George Washington University
4116,Ernesto Marques,University of Pittsburgh
4117,Nicole Eramo,University of Virginia
4118,Anthony de Bruyn,University
4119,Anthony de Bruyn,University
4120,Michael Worobey,University of Arizona
4121,Richard McKay,University of Cambridge
4122,Jacob Hacker,Yale University
4123,Patrick Murray,Monmouth University Polling Institute
4124,Jerry Falwell Jr.,Liberty University
4125,Gordon Douglas,University of Chicago
4126,Edward Kleinbard,University of Southern California
4127,Noy Thrupkaew,Nation Institute
4128,Stephen Sestanovich,Columbia University
4129,Donald Trump,American Enterprise Institute
4130,Nicole Eramo,University of Virginia
4131,Nicole Eramo,University of Virginia
4132,p. m. Saturday,George Mason University
4133,Koichi Nakano,Sophia University
4134,Ilán Semo,Iberoamerican University
4135,Philip E. Tetlock,University of Pennsylvania
4136,Kelly Jakubowski,Durham University
4137,N. H.,Saint Anselm College
4138,Jo Paoletti,University of Maryland
4139,Daniel A. Smith,University of Florida
4140,Yasmine Bahrani,American University
4141,Walter E. Dellinger III,Duke University
4142,Alan Abramowitz,Emory University
4143,Allan J. Lichtman,American University
4144,Shaddy Barakat,University of North Carolina
4145,Danielle Allen,Harvard University
4146,Edward Garon,University of California at Los Angeles
4147,Jeremy Bailenson,Stanford University
4148,Bruce Miroff,University Press of Kansas
4149,Heather Felton,University of Louisville
4150,Lauren Rivera,Northwestern University
4151,András Tilcsik,Northwestern University
4152,Peter Salovey,Calhoun College
4153,Rita Wang,Yale University
4154,Graham Ambrose,Yale University
4155,Donald Trump,Electoral College
4156,Francis Collins,National Institutes of Health
4157,Rita Redberg,University of California at San Francisco
4158,Bassam Abu Abdullah,Damascus University
4159,Andrew Tabler,Washington Institute for Near East Policy
4160,Imad Salamey,Lebanese American University
4161,Thomas Jefferson,University of Virginia
4162,Donald Trump,University
4163,Thomas Jefferson,University of Virginia
4164,Jeffrey McCall,DePauw University
4165,Ronald Reagan,Villanova University
4166,Zack Labe,University of California at Irvine
4167,Jennifer Francis,Rutgers University
4168,Stephanie Preston,University of Michigan
4169,Paige Cutler,Liberty University
4170,Jack Gerard,American Petroleum Institute
4171,Richard Spencer,National Policy Institute
4172,Michelle Obama,Princeton University
4173,Nathaniel Hilger,Brown University
4174,Mike Pence,Trump University
4175,Douglas Brinkley,Rice University
4176,R. I.,University Emergency Medicine Foundation
4177,Richard Spencer,National Policy Institute
4178,Ronald Reagan,National Policy Institute
4179,Sean Wilentz,Princeton University
4180,Neil Websdale,Family Violence Institute
4181,Monica de Bolle,Peterson Institute for International Economics
4182,Richard Spencer,National Policy Institute
4183,Lizzie Post,Emily Post Institute
4184,Mike McCullough,University of Plymouth
4185,Kimberly Moffitt,University of Maryland
4186,David Card,University of California at Berkeley
4187,James Madison University,James Madison University
4188,James Madison University,James Madison University
4189,James Madison University,James Madison University
4190,James Madison University,James Madison University
4191,Emily Sheridan,University of Colorado
4192,N. J.,Cooper University Hospital
4193,Edward Carmack,Institute of Ocean Sciences
4194,Craig Stone,Ohio State University
4195,Derek Rucker,Northwestern University
4196,Zoltan Hajnal,University of California at San Diego
4197,Nathaniel Hilger,Brown University
4198,Colin Moran,University of Stirling
4199,Mark Lilla,Columbia University
4200,Dennis Ross,Washington Institute for Near East Policy
4201,Matthew Shlonsky,American University
4202,Douglas Brinkley,Rice University
4203,Zhu Feng,Institute of International Relations
4204,Shen Dingli,Institute of International Affairs
4205,Corey Lewandowski,Harvard University
4206,Alfred Adler,Alfred Adler Institutes
4207,Reinhard Heinisch,University of Salzburg
4208,Nancy Weiss Malkiel,Princeton University Press
4209,Carl Benedikt,Oxford University
4210,Donald Trump,Columbia University
4211,Terry Sullivan,University of North Carolina
4212,Cary Nelson,University of Illinois
4213,David Greenberg,University of Haifa
4214,David Greenberg,Rutgers University
4215,Moshe Halbertal,New York University
4216,Moshe Halbertal,University of Minnesota
4217,Janet Mock,Brown University
4218,John Glenn,John Glenn College of Public Affairs
4219,Paul Sabin,Yale University
4220,Thomas Pyle,Institute for Energy Research
4221,Stephen Biddle,George Washington University
4222,Marie Caudill,Columbia University
4223,John Mitchell,Trump University
4224,Jan Lenaerts,Utrecht University
4225,Jennifer Layke,World Resources Institute
4226,Nick Santos,University of California at Davis
4227,Donald Trump,American Enterprise Institute
4228,Francis Fukuyama,Stanford University
4229,Gregory Klass,Georgetown University
4230,Olga Perez Stable Cox,Orange Coast College
4231,Christina Paxson,Brown University
4232,Christina Paxson,Brown University
4233,Jim Skaggs,Electoral College
